BROKERTITLE;TYPE;PRICE;BEDS;BATH;PROPERTYSQFT;ADDRESS;STATE;MAIN_ADDRESS;ADMINISTRATIVE_AREA_LEVEL_2;LOCALITY;SUBLOCALITY;STREET_NAME;LONG_NAME;FORMATTED_ADDRESS;LATITUDE;LONGITUDE
Brokered by BEN BAY REALTY, CO.;House for sale;588888;4;2.0;1640.0;187 Latimer Ave;Staten Island, NY 10314;187 Latimer AveStaten Island, NY 10314;United States;New York;Richmond County;Staten Island;Latimer Avenue;187 Latimer Ave, Staten Island, NY 10314, USA;40.5986261;-74.1817717
Brokered by Kremer Realty Ii, Inc;Multi-family home for sale;650000;6;;2184.207862;3106 Mickle Ave;Bronx, NY 10469;3106 Mickle AveBronx, NY 10469;United States;New York;Bronx County;The Bronx;Mickle Avenue;3106 Mickle Ave, Bronx, NY 10469, USA;40.8719262;-73.8423808
Brokered by Fave Realty Inc;Multi-family home for sale;899999;8;4.0;2184.207862;375 Linden Blvd;Brooklyn, NY 11203;375 Linden BlvdBrooklyn, NY 11203;United States;New York;Kings County;Brooklyn;Linden Boulevard;375 Linden Blvd, Brooklyn, NY 11203, USA;40.6531909;-73.9453969
Brokered by RE MAX Voyage;Co-op for sale;315000;1;1.0;850.0;35-31 85th St Unit 2M;Jackson Heights, NY 11372;35-31 85th St Unit 2MJackson Heights, NY 11372;New York;Queens County;Queens;Jackson Heights;3531;3531 85th St Apt 2m, Jackson Heights, NY 11372, USA;40.7520799;-73.88188
Brokered by Houlihan & O'malley R. E. Serv;Multi-family home for sale;1599999;6;;4073.0;3176 Tierney Pl;Bronx, NY 10465;3176 Tierney PlBronx, NY 10465;United States;New York;Bronx County;The Bronx;Tierney Place;3176 Tierney Pl, Bronx, NY 10465, USA;40.813524;-73.802218
Brokered by COMPASS;Townhouse for sale;10000000;5;;5660.0;45 W 95th St;Manhattan, NY 10025;45 W 95th StManhattan, NY 10025;United States;New York;New York County;New York;West 95th Street;45 W 95th St, New York, NY 10025, USA;40.791801;-73.9665998
Brokered by Neuhaus Realty, Inc.;House for sale;825000;4;2.0;2230.0;263 Getz Ave;Staten Island, NY 10312;263 Getz AveStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Getz Avenue;263 Getz Ave, Staten Island, NY 10312, USA;40.5532787;-74.1649844
Brokered by Homefinders of SI Inc.;Contingent;795000;3;3.0;1860.0;166 Bancroft Ave;Staten Island, NY 10306;166 Bancroft AveStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Bancroft Avenue;166 Bancroft Ave, Staten Island, NY 10306, USA;40.5763544;-74.1099794
Brokered by BERGEN BASIN REALTY;House for sale;690000;3;2.0;1325.0;2041 E 64th St;Brooklyn, NY 11234;2041 E 64th StBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;East 64th Street;2041 E 64th St, Brooklyn, NY 11234, USA;40.6173476;-73.9131449
Brokered by Real Estate Executives;House for sale;1249949;4;4.0;2720.0;21 Sanford St;Staten Island, NY 10307;21 Sanford StStaten Island, NY 10307;United States;New York;Richmond County;Staten Island;Sanford Street;21 Sanford St, Staten Island, NY 10307, USA;;
Brokered by Keystone Realty USA Corp;House for sale;799000;4;3.0;2184.207862;921 E 98th St;Brooklyn, NY 11236;921 E 98th StBrooklyn, NY 11236;United States;New York;Kings County;Brooklyn;East 98th Street;921 E 98th St, Brooklyn, NY 11236, USA;40.6483188;-73.9039932
NoBroker;Co-op for sale;115000;3;1.0;2184.207862;87-15 165th St Unit 6C;Jamaica, NY 11432;87-15 165th St Unit 6CJamaica, NY 11432;New York;Queens County;Queens;Jamaica;87-15;87-15 165th St #6c, Jamaica, NY 11432, USA;40.7104509;-73.7982064
Brokered by Keller Williams Legendary;House for sale;2088000;4;4.0;2394.0;24-40 Little Neck Blvd;Bayside, NY 11360;24-40 Little Neck BlvdBayside, NY 11360;United States;New York;Queens County;Queens;Little Neck Boulevard;24-40 Little Neck Blvd, Flushing, NY 11360, USA;40.7803566;-73.771297
Brokered by Corcoran Park Slope;Condo for sale;699000;2;2.0;1766.0;124-11 Rockaway Beach Blvd # 1C;Queens, NY 11694;124-11 Rockaway Beach Blvd # 1CQueens, NY 11694;New York;Queens County;Queens;Rockaway Park;124- 15;124- 15 Rockaway Beach Blvd #1B, Rockaway Park, NY 11694, USA;40.5771307;-73.8443159
Brokered by Lopez Realty Team Inc;Co-op for sale;119000;1;1.0;650.0;754 Brady Ave Apt 205;Bronx, NY 10462;754 Brady Ave Apt 205Bronx, NY 10462;New York;Bronx County;The Bronx;East Bronx;754;754 Brady Ave Apt 205, Bronx, NY 10462, USA;40.8522378;-73.8655788
Brokered by Winzone Realty Inc;Multi-family home for sale;1275000;5;3.0;2184.207862;32-58 86th St;East Elmhurst, NY 11369;32-58 86th StEast Elmhurst, NY 11369;United States;New York;Queens County;Queens;86th Street;32-58 86th St, Queens, NY 11369, USA;40.7563571;-73.8819905
Brokered by Keystone Realty USA Corp;Condo for sale;410000;2;2.0;2184.207862;151-35 84th St Unit 3M;Howard Beach, NY 11414;151-35 84th St Unit 3MHoward Beach, NY 11414;New York;Queens County;Queens;Howard Beach;151-35;151-35 84th St #3m, Howard Beach, NY 11414, USA;40.6668174;-73.8499468
Brokered by Re/Max In The City;Co-op for sale;309900;2;1.0;900.0;679 W 239th St Apt 5J;Bronx, NY 10463;679 W 239th St Apt 5JBronx, NY 10463;New York;Bronx County;The Bronx;Riverdale;679;679 W 239th St #5j, Bronx, NY 10463, USA;40.8901764;-73.9146261
Brokered by Nareema Baksh Real Estate;Condo for sale;435000;3;2.0;1034.0;2877 Ely Ave;Bronx, NY 10469;2877 Ely AveBronx, NY 10469;United States;New York;Bronx County;The Bronx;Ely Avenue;2877 Ely Ave, Bronx, NY 10469, USA;40.8690609;-73.835715
Brokered by Tiffany Moves You Inc;House for sale;879000;3;3.0;2184.207862;14-11 111th St;College Point, NY 11356;14-11 111th StCollege Point, NY 11356;United States;New York;Queens County;Queens;111th Street;14-11 111th St, Flushing, NY 11356, USA;40.785245;-73.8557
Brokered by Keller Williams Realty Group;Co-op for sale;325000;3;1.0;622.0;525 W 134th St Apt 2E;New York, NY 10031;525 W 134th St Apt 2ENew York, NY 10031;New York;New York County;New York;Manhattan;525;525 W 134th St #2e, New York, NY 10031, USA;40.8192151;-73.9544658
Brokered by Legacy Estate Realty;Multi-family home for sale;1195000;16;8.0;2184.207862;453 42nd St;Brooklyn, NY 11232;453 42nd StBrooklyn, NY 11232;United States;New York;Kings County;Brooklyn;42nd Street;453 42nd St, Brooklyn, NY 11232, USA;40.6502185;-74.0063562
Brokered by Myc & Associates Inc;Co-op for sale;1900000;3;2.0;2200.0;160 Chambers St Apt 4;New York, NY 10007;160 Chambers St Apt 4New York, NY 10007;New York;New York County;New York;Manhattan;160;160 Chambers St Apt 4, New York, NY 10007, USA;40.7159669;-74.010573
Brokered by Crifasi Real Estate Inc;House for sale;868000;3;2.0;2184.207862;64-04 71st St;Middle Village, NY 11379;64-04 71st StMiddle Village, NY 11379;United States;New York;Queens County;Queens;71st Street;64-04 71st St, Flushing, NY 11379, USA;40.7158631;-73.8843791
Brokered by Winzone Realty Inc;Multi-family home for sale;1770000;7;4.0;2184.207862;924 129th St;College Point, NY 11356;924 129th StCollege Point, NY 11356;United States;;Queens County;Queens;129th Street;924 129th St, College Point, NY 11356, USA;40.7885034;-73.8393008
Brokered by O Kane Realty;Multi-family home for sale;899000;5;3.0;1480.0;58-31 71st St;Maspeth, NY 11378;58-31 71st StMaspeth, NY 11378;United States;New York;Queens County;Queens;71st Street;58-31 71st St, Maspeth, NY 11378, USA;40.7253273;-73.8900898
Brokered by Corcoran SoHo;Pending;990000;2;2.0;960.0;253 Tompkins Ave Apt 4B;Brooklyn, NY 11216;253 Tompkins Ave Apt 4BBrooklyn, NY 11216;New York;Kings County;Brooklyn;Bedford-Stuyvesant;253;253 Tompkins Ave #4b, Brooklyn, NY 11216, USA;40.6900217;-73.945006
Brokered by Maureen Folan R E Group Llc;House for sale;818000;3;3.0;2184.207862;138-38 63 Ave;Flushing, NY 11367;138-38 63 AveFlushing, NY 11367;United States;New York;Queens County;Queens;63rd Avenue;138-38 63rd Ave, Flushing, NY 11367, USA;40.7396171;-73.8267571
Brokered by Sowae Corp;House for sale;409000;4;2.0;2184.207862;144-28 72nd Rd;Flushing, NY 11367;144-28 72nd RdFlushing, NY 11367;United States;New York;Queens County;Queens;72nd Road;144-28 72nd Rd, Flushing, NY 11367, USA;40.726173;-73.8202303
Brokered by RE MAX Edge;Pending;679000;3;2.0;1474.0;3719 Mermaid Ave Unit 2B;Brooklyn, NY 11224;3719 Mermaid Ave Unit 2BBrooklyn, NY 11224;New York;Kings County;Brooklyn;Seagate;3719;3719 Mermaid Ave #2b, Brooklyn, NY 11224, USA;40.574905;-74.0036857
Brokered by Douglas Elliman - Bayside;Co-op for sale;259000;1;1.0;2184.207862;72-81 113 St Unit 6K;Forest Hills, NY 11375;72-81 113 St Unit 6KForest Hills, NY 11375;New York;Queens County;Queens;Forest Hills;72-81;72-81 113th St #6c, Forest Hills, NY 11375, USA;40.7199582;-73.8357232
Brokered by Stone Hill Real Estate;House for sale;850000;6;3.0;2280.0;62 15th St Unit 15TH;Brooklyn, NY 11215;62 15th St Unit 15THBrooklyn, NY 11215;New York;Kings County;Brooklyn;Gowanus;62;62 15th St #15th, Brooklyn, NY 11215, USA;40.6681319;-73.9948468
Brokered by Halstead Real Estate - 770 Lexington Avenue;Townhouse for sale;8750000;6;6.0;6000.0;8200 Narrows Ave Unit Townhouse;Brooklyn, NY 11209;8200 Narrows Ave Unit TownhouseBrooklyn, NY 11209;United States;New York;Kings County;Brooklyn;Narrows Avenue;8200 Narrows Ave, Brooklyn, NY 11209, USA;40.6282935;-74.0379695
Brokered by RE MAX Real Estate Professionals;House for sale;495000;2;2.0;953.0;79 Benjamin Dr;Staten Island, NY 10303;79 Benjamin DrStaten Island, NY 10303;United States;New York;Richmond County;Staten Island;Benjamin Drive;79 Benjamin Dr, Staten Island, NY 10303, USA;40.6233738;-74.1599502
Brokered by Remax Edge - RE/MAX EDGE;Co-op for sale;825000;2;1.0;800.0;14 Prospect Park SW Apt 39;Brooklyn, NY 11215;14 Prospect Park SW Apt 39Brooklyn, NY 11215;New York;Kings County;Brooklyn;Windsor Terrace;14;14 Prospect Park Southwest Apartment 39, Brooklyn, NY 11215, USA;40.660279;-73.978949
Brokered by Douglas Elliman - Long Beach;Co-op for sale;1075000;4;2.0;1800.0;37-30 83rd St Unit 4EF;Jackson Heights, NY 11372;37-30 83rd St Unit 4EFJackson Heights, NY 11372;New York;Queens County;Queens;Flushing;37-30;37-30 83rd St #4e, Flushing, NY 11372, USA;40.7487647;-73.8834851
Brokered by Douglas Elliman - 3544 Johnson Ave;House for sale;1950000;5;4.0;4000.0;5501 Palisade Ave Lot 2;Bronx, NY 10471;5501 Palisade Ave Lot 2Bronx, NY 10471;New York;Bronx County;The Bronx;North Riverdale;5501;5501 Palisade Ave #2, Bronx, NY 10471, USA;40.9057349;-73.9111699
Brokered by Robert DeFalco Realty, Inc.;House for sale;6800000;7;;5130.0;131 Cliffwood Ave;Staten Island, NY 10304;131 Cliffwood AveStaten Island, NY 10304;10304;United States;New York;Richmond County;Cliffwood Avenue;131 Cliffwood Ave, Staten Island, NY 10304, USA;40.5956171;-74.1144559
Brokered by Corcoran West Side;Multi-family home for sale;7999000;20;10.0;2184.207862;414 Riverside Dr;New York, NY 10025;414 Riverside DrNew York, NY 10025;United States;New York;New York County;New York;Riverside Drive;414 Riverside Dr, New York, NY 10025, USA;40.8071701;-73.9668179
Brokered by Tscherne Realty Inc;Condo for sale;578000;2;2.0;900.0;57-15 69th Ln Unit 1;Maspeth, NY 11378;57-15 69th Ln Unit 1Maspeth, NY 11378;New York;Queens County;Queens;Flushing;5715;5715 69th Ln APT 1, Flushing, NY 11378, USA;40.7265287;-73.8933039
Brokered by COMPASS;Condo for sale;8995000;5;4.0;4373.0;135 W 52nd St Ph 5;Manhattan, NY 10019;135 W 52nd St Ph 5Manhattan, NY 10019;New York;New York County;New York;Manhattan;135;135 W 52nd St PH 5, New York, NY 10019, USA;40.7620381;-73.9808958
Brokered by eXp Realty BKNY;Condo for sale;629000;3;2.0;1360.0;269 Bay 8th St Apt 2R;Brooklyn, NY 11228;269 Bay 8th St Apt 2RBrooklyn, NY 11228;New York;Kings County;Brooklyn;Bath Beach;269;269 Bay 8th St #2r, Brooklyn, NY 11228, USA;40.6063017;-74.0157592
Brokered by Reony.Com Ltd;Condo for sale;329900;2;2.0;993.0;149-30 88 St Unit 4D;Howard Beach, NY 11414;149-30 88 St Unit 4DHoward Beach, NY 11414;New York;Queens County;Queens;Howard Beach;149-30;149-30 88th St #4d, Howard Beach, NY 11414, USA;40.6689793;-73.8476549
Brokered by Keller Williams Rlty Landmark;House for sale;1788888;4;4.0;2184.207862;162-15 14th Ave;Whitestone, NY 11357;162-15 14th AveWhitestone, NY 11357;United States;New York;Queens County;Queens;14th Avenue;162-15 14th Ave, Flushing, NY 11357, USA;40.7892182;-73.7997874
Brokered by Sari Kingsley, Real Estate;House for sale;899000;5;2.0;2184.0;39 Rene Dr;Staten Island, NY 10306;39 Rene DrStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Rene Drive;39 Rene Dr, Staten Island, NY 10306, USA;40.565557;-74.1329192
Brokered by BRAI - Braithwaite Realty LLC;Condo for sale;2150000;3;1.0;750.0;163 E 71st St Unit 1;New York, NY 10021;163 E 71st St Unit 1New York, NY 10021;New York;New York County;New York;Manhattan;163;163 E 71st St #1, New York, NY 10021, USA;;
Brokered by Hollingsworth Real Estate Grou;House for sale;1290000;3;2.0;2905.0;5040 Tibbett Ave;Bronx, NY 10471;5040 Tibbett AveBronx, NY 10471;United States;New York;Bronx County;The Bronx;Tibbett Avenue;5040 Tibbett Ave, Bronx, NY 10471, USA;40.8964834;-73.899354
Brokered by Keller Williams City Views;Co-op for sale;109000;1;1.0;2184.207862;335 E 209th St Apt 4;Bronx, NY 10467;335 E 209th St Apt 4Bronx, NY 10467;New York;Bronx County;The Bronx;Norwood;335;335 E 209th St Apt 4, Bronx, NY 10467, USA;40.8768714;-73.8742644
Brokered by Robert DeFalco Realty, Inc.;House for sale;545000;6;3.0;1344.0;46 Lincoln Ave;Staten Island, NY 10306;46 Lincoln AveStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Lincoln Avenue;46 Lincoln Ave, Staten Island, NY 10306, USA;40.5804254;-74.1110462
Brokered by BHHS New York Properties;Co-op for sale;307000;2;1.0;960.0;629 Kappock St Apt 2P;Bronx, NY 10463;629 Kappock St Apt 2PBronx, NY 10463;New York;Bronx County;The Bronx;Spuyten Duyvil;629;629 Kappock St #2p, Bronx, NY 10463, USA;40.8802558;-73.9168342
Brokered by Corcoran Park Avenue South;Condo for sale;595000;1;1.0;750.0;189 Avenue C Apt 9D;New York, NY 10009;189 Avenue C Apt 9DNew York, NY 10009;New York;New York County;New York;Manhattan;189;189 Loisaida Ave #9d, New York, NY 10009, USA;40.726984;-73.9769367
Brokered by Ashford Homes;House for sale;1088888;5;4.0;2452.0;75 Four Corners Rd;Staten Island, NY 10304;75 Four Corners RdStaten Island, NY 10304;United States;New York;Richmond County;Staten Island;4 Corners Road;75 4 Corners Rd, Staten Island, NY 10304, USA;40.5908557;-74.1037852
Brokered by Exp Realty;Townhouse for sale;650000;3;2.0;1912.0;1077 Adee Ave;Bronx, NY 10469;1077 Adee AveBronx, NY 10469;United States;New York;Bronx County;The Bronx;Adee Avenue;1077 Adee Ave, Bronx, NY 10469, USA;40.8697126;-73.8565137
Brokered by RE MAX Edge;Multi-family home for sale;4380000;35;16.0;15000.0;8699 Bay Pkwy Unit 16;Brooklyn, NY 11214;8699 Bay Pkwy Unit 16Brooklyn, NY 11214;United States;New York;Kings County;Brooklyn;8699;8699 Bay Pkwy #16, Brooklyn, NY 11214, USA;40.599715;-73.995694
Brokered by Homesmart Premier Living Rlty;Multi-family home for sale;949999;5;3.0;1740.0;109-42 Centreville St;Ozone Park, NY 11417;109-42 Centreville StOzone Park, NY 11417;United States;New York;Queens County;Queens;Centreville Street;109-42 Centreville St, Jamaica, NY 11417, USA;40.6778227;-73.8350282
Brokered by Han Tang Realty Inc.;Multi-family home for sale;879000;4;2.0;1998.0;2026 Mayflower Ave;Bronx, NY 10461;2026 Mayflower AveBronx, NY 10461;United States;New York;Bronx County;The Bronx;Mayflower Avenue;2026 Mayflower Ave, Bronx, NY 10461, USA;40.8527278;-73.833506
Brokered by Exp Realty;House for sale;850000;6;4.0;2886.0;1358 Norton Dr;Far Rockaway, NY 11691;1358 Norton DrFar Rockaway, NY 11691;United States;;Queens County;Queens;Norton Drive;1358 Norton Dr, Far Rockaway, NY 11691, USA;40.6085633;-73.7686771
Brokered by RE MAX Elite;Co-op for sale;675000;2;2.0;1200.0;9437 Shore Rd Unit 1A;Brooklyn, NY 11209;9437 Shore Rd Unit 1ABrooklyn, NY 11209;New York;Kings County;Brooklyn;Fort Hamilton;9437;9437 Shore Rd #1a, Brooklyn, NY 11209, USA;40.6168668;-74.0380928
Brokered by Gillani Homes Inc.;House for sale;199000;2;1.0;900.0;2701 Goethals Rd N Apt D7;Staten Island, NY 10303;2701 Goethals Rd N Apt D7Staten Island, NY 10303;United States;New York;Richmond County;Staten Island;2701;2701 Goethals Rd N d7, Staten Island, NY 10303, USA;40.6281757;-74.1797234
Brokered by Corcoran Park Avenue South;House for sale;395000;3;1.0;430.0;56 Pine St Apt 10E;New York, NY 10005;56 Pine St Apt 10ENew York, NY 10005;New York;New York County;New York;Manhattan;56;56 Pine St #10e, New York, NY 10005, USA;40.7068323;-74.0083798
Brokered by Keller Williams Legendary;Co-op for sale;368000;2;2.0;2184.207862;18-05 215th St Unit 12H;Bayside, NY 11360;18-05 215th St Unit 12HBayside, NY 11360;New York;Queens County;Queens;Bayside;18.май;18-05 215th St #12h, Bayside, NY 11360, USA;40.784673;-73.775263
Brokered by Re/Max Edge;Multi-family home for sale;999999;5;2.0;2754.0;184 Lovelace Ave;Staten Island, NY 10312;184 Lovelace AveStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Lovelace Avenue;184 Lovelace Ave, Staten Island, NY 10312, USA;40.5509337;-74.1745249
Brokered by Re/Max In The City;Condo for sale;374900;1;1.0;782.0;2287 Johnson Ave Apt 12B;Bronx, NY 10463;2287 Johnson Ave Apt 12BBronx, NY 10463;New York;Bronx County;The Bronx;Spuyten Duyvil;2287;2287 Johnson Ave #12b, Bronx, NY 10463, USA;40.8778771;-73.9188767
Brokered by Best Service Realty Corp.;Co-op for sale;365000;2;1.0;2184.207862;37-30 83rd St Unit 2H;Jackson Heights, NY 11372;37-30 83rd St Unit 2HJackson Heights, NY 11372;New York;Queens County;Queens;Jackson Heights;3730;3730 83rd St Apt 2h, Jackson Heights, NY 11372, USA;40.7493341;-73.8834178
Brokered by Sotheby's International Realty - Downtown Manhattan;Townhouse for sale;25500000;5;;2184.207862;763 Greenwich St;New York, NY 10014;763 Greenwich StNew York, NY 10014;United States;New York;New York County;New York;Greenwich Street;763 Greenwich St, New York, NY 10014, USA;40.7361176;-74.0064866
Brokered by Station Cities;Multi-family home for sale;999000;7;3.0;3036.0;784 Elton Ave;Bronx, NY 10451;784 Elton AveBronx, NY 10451;United States;New York;Bronx County;The Bronx;Elton Avenue;784 Elton Ave, Bronx, NY 10451, USA;40.8214661;-73.9132049
Brokered by Keller Williams Rlty Landmark;House for sale;825000;3;2.0;2184.207862;62-72 Wetherole St;Rego Park, NY 11374;62-72 Wetherole StRego Park, NY 11374;United States;New York;Queens County;Queens;Wetherole Street;62-72 Wetherole St, Flushing, NY 11374, USA;40.7291225;-73.8672746
Brokered by TREBACH REALTY INC;House for sale;889000;3;2.0;2184.207862;6012 Delafield Ave;Bronx, NY 10471;6012 Delafield AveBronx, NY 10471;United States;New York;Bronx County;The Bronx;Delafield Avenue;6012 Delafield Ave, Bronx, NY 10471, USA;40.9086225;-73.9024315
Brokered by Ditommaso Real Estate;Co-op for sale;225000;2;1.0;789.0;1100 Clove Rd Apt 2D;Brooklyn, NY 10301;1100 Clove Rd Apt 2DBrooklyn, NY 10301;New York;Richmond County;Staten Island;Castleton Corners;1100;1100 Clove Rd #2d, Staten Island, NY 10301, USA;40.6189484;-74.1071576
Brokered by EXP Realty;House for sale;799500;2;2.0;2250.0;627 Rockaway St;Staten Island, NY 10307;627 Rockaway StStaten Island, NY 10307;United States;New York;Richmond County;Staten Island;Rockaway Street;627 Rockaway St, Staten Island, NY 10307, USA;40.5017889;-74.2393231
Brokered by Coldwell Banker American Homes;House for sale;779000;2;2.0;2184.207862;1947 Hendrickson St;Brooklyn, NY 11234;1947 Hendrickson StBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;Hendrickson Street;1947 Hendrickson St, Brooklyn, NY 11234, USA;40.6134102;-73.927727
Brokered by Winzone Realty Inc;Multi-family home for sale;1880000;7;2.0;3240.0;415 72nd St;Brooklyn, NY 11209;415 72nd StBrooklyn, NY 11209;United States;New York;Kings County;Brooklyn;72nd Street;415 72nd St, Brooklyn, NY 11209, USA;40.6327207;-74.0236917
Brokered by COMPASS;Townhouse for sale;3000000;5;;5000.0;263 W 139th St;Manhattan, NY 10030;263 W 139th StManhattan, NY 10030;United States;New York;New York County;New York;West 139th Street;263 W 139th St, New York, NY 10030, USA;40.819079;-73.944168
Brokered by TREBACH REALTY INC;Co-op for sale;480000;3;2.0;2184.207862;3901 Independence Ave Apt 2T;Bronx, NY 10463;3901 Independence Ave Apt 2TBronx, NY 10463;New York;Bronx County;The Bronx;Riverdale;3901;3901 Independence Ave Apt 2n, Bronx, NY 10463, USA;40.8890266;-73.9131785
Brokered by Island Advantage Realty Llc;House for sale;820000;4;3.0;2184.207862;150-08 Grand Central Pkwy;Jamaica, NY 11432;150-08 Grand Central PkwyJamaica, NY 11432;United States;New York;Queens County;Queens;Grand Central Parkway;150-08 Grand Central Pkwy, Jamaica, NY 11432, USA;40.7154424;-73.8098159
Brokered by New York Residential R E;Co-op for sale;385000;2;1.0;800.0;160-34 Cross Island Pkwy Unit 6-202;Whitestone, NY 11357;160-34 Cross Island Pkwy Unit 6-202Whitestone, NY 11357;New York;Queens County;Queens;Whitestone;16034;16034 Cross Island Pkwy 6 202, Whitestone, NY 11357, USA;40.7865407;-73.8018825
Brokered by Jacobson Realty Ltd;House for sale;709999;4;2.0;2184.207862;220-45 138th Ave;Springfield Gardens, NY 11413;220-45 138th AveSpringfield Gardens, NY 11413;United States;New York;Queens County;Queens;138th Avenue;220-45 138th Ave, Jamaica, NY 11413, USA;40.6736664;-73.7504403
Brokered by EXIT REALTY PRIME;House for sale;699000;3;2.0;1500.0;115-11 126th St;South Ozone Park, NY 11420;115-11 126th StSouth Ozone Park, NY 11420;United States;New York;Queens County;Queens;126th Street;115-11 126th St, South Ozone Park, NY 11420, USA;40.6785308;-73.8130811
Brokered by Ilite Realty Inc;Condo for sale;649000;3;2.0;1400.0;1220 Avenue Y Unit Oa;Brooklyn, NY 11235;1220 Avenue Y Unit OaBrooklyn, NY 11235;United States;New York;Kings County;Brooklyn;Avenue Y;1220 Ave Y, Brooklyn, NY 11235, USA;40.5895025;-73.9579253
Brokered by Diane Realty Ltd.;Townhouse for sale;529000;3;;1618.0;23 Arielle Ln;Staten Island, NY 10314;23 Arielle LnStaten Island, NY 10314;United States;New York;Richmond County;Staten Island;Arielle Lane;23 Arielle Ln, Staten Island, NY 10314, USA;40.5781324;-74.1603451
Brokered by Exp Realty;Co-op for sale;325000;2;1.0;750.0;129 E 102nd St Apt 5B;New York, NY 10029;129 E 102nd St Apt 5BNew York, NY 10029;New York;New York County;New York;Manhattan;129;129 E 102nd St #5b, New York, NY 10029, USA;40.78987;-73.9483335
Brokered by RE MAX Edge;House for sale;999000;3;1.0;1392.0;1648 Marine Pkwy;Brooklyn, NY 11234;1648 Marine PkwyBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;Marine Parkway;1648 Marine Pkwy, Brooklyn, NY 11234, USA;40.6123969;-73.9422162
Brokered by Sowae Corp;House for sale;160000;3;;1064.0;114-48 148 St;Jamaica, NY 11436;114-48 148 StJamaica, NY 11436;United States;;Queens County;Queens;148th Street;114-48 148th St, Jamaica, NY 11436, USA;40.6845061;-73.7950299
