Age,Weight,CAEC,FAF,MTRANS
26,111.5,Sometimes,0,Public_Transportation
26,113.2,Sometimes,0,Automobile
33,84.8,Sometimes,1,Automobile
23,78.0,Sometimes,0,Public_Transportation
18,50.0,Sometimes,0,Automobile
21,70.0,Never,1,Public_Transportation
22,75.0,Sometimes,1,Public_Transportation
33,85.0,Sometimes,1,Public_Transportation
25,75.0,Frequently,3,Public_Transportation
18,82.5,Sometimes,1,Public_Transportation
21,80.0,Sometimes,2,Public_Transportation
18,50.0,Sometimes,2,Public_Transportation
22,85.6,Sometimes,0,Public_Transportation
21,122.1,Sometimes,0,Public_Transportation
19,62.0,Frequently,1,Public_Transportation
38,77.7,Sometimes,0,Automobile
61,66.0,Always,1,Public_Transportation
23,105.0,Sometimes,1,Public_Transportation
41,79.8,Sometimes,0,Automobile
19,85.0,Sometimes,1,Walking
25,55.0,Sometimes,2,Public_Transportation
23,84.0,Sometimes,0,Public_Transportation
18,71.0,Frequently,1,Public_Transportation
39,85.7,Sometimes,0,Automobile
27,99.0,Frequently,2,Walking
17,95.4,Sometimes,1,Public_Transportation
19,42.4,Frequently,1,Public_Transportation
25,110.0,Sometimes,0,Public_Transportation
19,42.0,Sometimes,2,Public_Transportation
17,50.0,Sometimes,2,Public_Transportation
19,54.9,Sometimes,1,Public_Transportation
21,133.9,Sometimes,1,Public_Transportation
34,103.7,Sometimes,1,Automobile
21,42.0,Frequently,0,Public_Transportation
19,65.0,Sometimes,2,Bike
18,91.0,Frequently,0,Public_Transportation
34,80.4,Sometimes,0,Automobile
25,102.0,Sometimes,0,Public_Transportation
22,55.0,Always,2,Public_Transportation
24,81.7,Sometimes,0,Public_Transportation
16,54.9,Sometimes,0,Public_Transportation
17,44.4,Sometimes,2,Public_Transportation
28,79.7,Sometimes,0,Public_Transportation
22,63.0,Frequently,1,Public_Transportation
20,60.0,Sometimes,0,Public_Transportation
18,128.7,Sometimes,0,Public_Transportation
18,86.6,Sometimes,2,Public_Transportation
31,118.3,Sometimes,0,Automobile
21,68.7,Never,0,Public_Transportation
18,138.0,Sometimes,1,Public_Transportation
16,50.0,Frequently,1,Public_Transportation
21,106.3,Sometimes,0,Public_Transportation
23,82.5,Sometimes,1,Public_Transportation
21,67.1,Sometimes,1,Public_Transportation
19,61.0,Sometimes,1,Public_Transportation
20,130.9,Sometimes,1,Public_Transportation
23,44.6,Frequently,0,Public_Transportation
19,82.0,Sometimes,0,Public_Transportation
30,100.2,Sometimes,1,Public_Transportation
25,87.0,Sometimes,1,Automobile
30,82.0,Frequently,0,Automobile
20,131.0,Sometimes,1,Public_Transportation
37,107.9,Sometimes,1,Public_Transportation
38,75.0,Frequently,3,Automobile
30,68.8,Sometimes,0,Automobile
20,85.0,Sometimes,2,Public_Transportation
17,60.0,Sometimes,3,Walking
25,110.9,Sometimes,0,Public_Transportation
17,59.6,Sometimes,2,Automobile
36,101.3,Sometimes,2,Automobile
19,41.7,Frequently,0,Public_Transportation
23,55.0,Sometimes,1,Motorbike
19,68.9,Sometimes,0,Public_Transportation
26,82.2,Sometimes,0,Public_Transportation
18,51.6,Sometimes,1,Public_Transportation
21,57.0,Frequently,2,Automobile
18,76.0,Sometimes,1,Public_Transportation
18,55.0,Frequently,0,Public_Transportation
26,104.8,Sometimes,0,Public_Transportation
27,120.9,Sometimes,0,Public_Transportation
20,65.0,Sometimes,0,Public_Transportation
20,152.2,Sometimes,1,Public_Transportation
25,80.4,Sometimes,0,Public_Transportation
23,95.3,Sometimes,3,Public_Transportation
17,97.0,Sometimes,1,Walking
25,112.8,Sometimes,1,Public_Transportation
25,104.6,Sometimes,0,Public_Transportation
21,131.5,Sometimes,1,Public_Transportation
23,70.0,Sometimes,3,Public_Transportation
18,50.0,Sometimes,0,Public_Transportation
25,105.4,Sometimes,0,Public_Transportation
20,68.0,Sometimes,1,Public_Transportation
16,50.0,Sometimes,1,Public_Transportation
22,93.6,Sometimes,0,Public_Transportation
37,77.3,Sometimes,0,Automobile
25,112.2,Sometimes,1,Public_Transportation
18,114.8,Sometimes,1,Public_Transportation
31,127.2,Sometimes,1,Public_Transportation
26,104.9,Sometimes,0,Public_Transportation
30,120.0,Sometimes,1,Automobile
23,84.1,Sometimes,0,Public_Transportation
17,59.2,Sometimes,2,Automobile
22,63.6,Sometimes,1,Automobile
26,111.9,Sometimes,0,Public_Transportation
22,79.0,Sometimes,1,Public_Transportation
16,49.9,Sometimes,1,Public_Transportation
21,75.1,Sometimes,1,Public_Transportation
19,39.1,Sometimes,2,Public_Transportation
16,67.4,Sometimes,0,Public_Transportation
23,117.4,Sometimes,1,Public_Transportation
26,106.9,Sometimes,0,Public_Transportation
23,114.5,Sometimes,0,Public_Transportation
19,42.1,Sometimes,0,Public_Transportation
21,103.6,Sometimes,1,Public_Transportation
31,90.0,Sometimes,0,Automobile
23,75.0,Sometimes,0,Public_Transportation
18,75.8,Sometimes,1,Public_Transportation
19,42.5,Frequently,1,Public_Transportation
19,55.4,Sometimes,2,Automobile
29,129.7,Sometimes,1,Public_Transportation
17,65.0,Sometimes,0,Public_Transportation
19,45.0,Frequently,1,Public_Transportation
38,80.0,Sometimes,1,Automobile
21,62.9,Sometimes,0,Public_Transportation
22,95.0,Sometimes,1,Public_Transportation
20,120.7,Sometimes,0,Public_Transportation
26,84.0,Frequently,2,Public_Transportation
19,87.9,Sometimes,2,Public_Transportation
26,107.5,Sometimes,0,Public_Transportation
21,59.0,Always,3,Automobile
22,75.8,Sometimes,0,Public_Transportation
22,104.3,Sometimes,0,Public_Transportation
21,75.0,Frequently,3,Automobile
19,55.5,Sometimes,2,Automobile
22,82.6,Sometimes,0,Public_Transportation
22,49.0,Sometimes,2,Walking
26,78.0,Sometimes,0,Automobile
18,40.2,Sometimes,0,Public_Transportation
47,82.0,Sometimes,0,Automobile
19,85.1,Sometimes,1,Public_Transportation
22,66.0,Always,2,Public_Transportation
30,103.0,Sometimes,0,Public_Transportation
25,114.3,Sometimes,1,Public_Transportation
38,117.3,Sometimes,0,Automobile
29,113.2,Sometimes,0,Automobile
26,105.1,Sometimes,1,Public_Transportation
18,73.0,Sometimes,2,Public_Transportation
25,113.1,Sometimes,1,Public_Transportation
21,132.9,Sometimes,1,Public_Transportation
18,142.1,Sometimes,1,Public_Transportation
21,66.4,Sometimes,1,Public_Transportation
25,121.0,Sometimes,1,Public_Transportation
17,59.3,Sometimes,2,Automobile
18,72.0,Sometimes,3,Automobile
26,111.9,Sometimes,0,Public_Transportation
15,86.0,Sometimes,3,Walking
23,59.0,Sometimes,1,Public_Transportation
18,50.0,Frequently,0,Public_Transportation
20,105.6,Sometimes,0,Public_Transportation
18,108.8,Sometimes,1,Public_Transportation
18,138.2,Sometimes,0,Public_Transportation
21,82.3,Sometimes,2,Public_Transportation
20,75.0,Always,2,Public_Transportation
38,76.6,Sometimes,0,Automobile
19,69.9,Sometimes,0,Public_Transportation
19,89.4,Sometimes,2,Public_Transportation
25,104.9,Sometimes,0,Public_Transportation
23,62.3,Sometimes,1,Public_Transportation
21,44.2,Frequently,1,Public_Transportation
24,58.0,Sometimes,1,Public_Transportation
